Province/State,Country/Region,Lat,Long,deaths,confirmed,recovered
,Afghanistan,33.0,65.0,153,6053,745.0
,Albania,41.1533,20.1683,31,916,705.0
,Algeria,28.0339,1.6596,536,6629,3271.0
,Andorra,42.5063,1.5218,49,761,604.0
,Angola,-11.2027,17.8739,2,48,17.0
,Antigua and Barbuda,17.0608,-61.7964,3,25,19.0
,Argentina,-38.4161,-63.6167,356,7479,2497.0
,Armenia,40.0691,45.0382,52,4044,1666.0
Australian Capital Territory,Australia,-35.4735,149.0124,3,107,104.0
New South Wales,Australia,-33.8688,151.2093,45,3074,2611.0
Northern Territory,Australia,-12.4634,130.8456,0,29,27.0
Queensland,Australia,-28.0167,153.4,6,1055,1036.0
South Australia,Australia,-34.9285,138.6007,4,439,435.0
Tasmania,Australia,-41.4545,145.9707,13,228,191.0
Victoria,Australia,-37.8136,144.9631,18,1551,1417.0
Western Australia,Australia,-31.9505,115.8605,9,552,538.0
,Austria,47.5162,14.5501,628,16109,14471.0
,Azerbaijan,40.1431,47.5769,36,2980,1886.0
,Bahamas,25.0343,-77.3963,11,96,41.0
,Bahrain,26.0275,50.55,12,6583,2640.0
,Bangladesh,23.685,90.3563,298,20065,3882.0
,Barbados,13.1939,-59.5432,7,85,65.0
,Belarus,53.7098,27.9534,156,27730,8807.0
,Belgium,50.8333,4.0,8959,54644,14301.0
,Benin,9.3077,2.3158,2,339,16.0
,Bhutan,27.5142,90.4336,0,21,83.0
,Bolivia,-16.2902,-63.5887,164,3577,5.0
,Bosnia and Herzegovina,43.9159,17.6791,128,2236,434.0
,Brazil,-14.235,-51.9253,14962,220291,1336.0
,Brunei,4.5353,114.7277,1,141,84970.0
,Bulgaria,42.7339,25.4858,102,2138,135.0
,Burkina Faso,12.2383,-1.5616,51,780,545.0
,Cabo Verde,16.5388,-23.0418,2,326,595.0
,Cambodia,11.55,104.9167,0,122,67.0
,Cameroon,3.8480000000000003,11.5021,140,3105,122.0
Alberta,Canada,53.9333,-116.5765,125,6515,1567.0
British Columbia,Canada,49.2827,-123.1207,140,2407,36908.0
Grand Princess,Canada,37.6489,-122.6655,0,13,13.0
Manitoba,Canada,53.7609,-98.8139,7,289,88.0
New Brunswick,Canada,46.5653,-66.4619,0,120,16614.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,3,260,985.0
Nova Scotia,Canada,44.681999999999995,-63.7443,55,1034,576.0
Ontario,Canada,51.2538,-85.3232,1939,23258,573.0
Prince Edward Island,Canada,46.5107,-63.4168,0,27,355.0
Quebec,Canada,52.9399,-73.5491,3402,41429,137.0
Saskatchewan,Canada,52.9399,-106.4509,7,590,1579.0
,Central African Republic,6.6111,20.9394,0,301,252.0
,Chad,15.4542,18.7322,48,428,145.0
,Chile,-35.6751,-71.543,394,39542,162.0
Anhui,China,31.8257,117.2264,6,991,321.0
Beijing,China,40.1824,116.4142,9,593,931.0
Chongqing,China,30.0572,107.874,6,579,1254.0
Fujian,China,26.0789,117.9874,1,356,1019.0
Gansu,China,37.8099,101.0583,2,139,63616.0
Guangdong,China,23.3417,113.4244,8,1589,1015.0
Guangxi,China,23.8298,108.7881,2,254,196.0
Guizhou,China,26.8154,106.8748,2,147,653.0
Hainan,China,19.1959,109.7453,6,169,936.0
Hebei,China,39.549,116.1306,6,328,108.0
Heilongjiang,China,47.861999999999995,127.7615,13,945,144.0
Henan,China,33.882,113.61399999999999,22,1276,43.0
Hong Kong,China,22.3,114.2,4,1052,75.0
Hubei,China,30.9756,112.2707,4512,68134,18.0
Hunan,China,27.6104,111.7088,4,1019,301.0
Inner Mongolia,China,44.0935,113.9448,1,209,780.0
Jiangsu,China,32.9711,119.455,0,653,640.0
Jiangxi,China,27.614,115.7221,1,937,198.0
Jilin,China,43.6661,126.1923,1,140,558.0
Liaoning,China,41.2956,122.6085,2,149,187.0
Macau,China,22.1667,113.55,0,45,1.0
Ningxia,China,37.2692,106.1655,0,75,73.0
Qinghai,China,35.7452,95.9956,0,18,183.0
Shaanxi,China,35.1917,108.8701,3,308,1267.0
Shandong,China,36.3427,118.1498,7,788,3460.0
Shanghai,China,31.201999999999998,121.4491,7,665,87.0
Shanxi,China,37.5777,112.2922,0,198,212.0
Sichuan,China,30.6171,102.7103,3,561,542.0
Tianjin,China,39.3054,117.323,3,191,942.0
Tibet,China,31.6927,88.0924,0,1,1869.0
Xinjiang,China,41.1129,85.2401,3,76,651.0
Yunnan,China,24.974,101.48700000000001,2,185,1425.0
Zhejiang,China,29.1832,120.0934,1,1268,481.0
,Colombia,4.5709,-74.2973,546,14216,5381.0
,Republic of the Congo,-4.0383,21.7587,15,391,187.0
,Democratic Republic of the Congo,-4.0383,21.7587,50,1298,11.0
,Costa Rica,9.7489,-83.7534,9,843,8959.0
,Ivory Coast,7.54,-5.5471,24,2017,935.0
,Croatia,45.1,15.2,95,2222,15.0
,Diamond Princess,0.0,0.0,13,712,3557.0
,Cuba,22.0,-80.0,79,1840,3433.0
,Cyprus,35.1264,33.4299,17,910,2799.0
,Czechia,49.8175,15.472999999999999,295,8406,417.0
Faroe Islands,Denmark,61.8926,-6.9118,0,187,22.0
Greenland,Denmark,71.7069,-42.6043,0,11,39.0
,Denmark,56.2639,9.5018,537,10791,923.0
,Djibouti,11.8251,42.5903,4,1309,66.0
,Dominican Republic,18.7357,-70.1627,424,11739,112.0
,Ecuador,-1.8312,-78.1834,2594,31467,15.0
,Egypt,26.0,30.0,592,11228,5000.0
,El Salvador,13.7942,-88.8965,25,1210,124.0
,Equatorial Guinea,1.5,10.0,7,594,59.0
,Eritrea,15.1794,39.7823,0,39,109.0
,Estonia,58.5953,25.0136,63,1766,91.0
,Eswatini,-26.5225,31.4659,2,190,627.0
,Ethiopia,9.145,40.4897,5,287,18.0
,Fiji,-17.7134,178.065,0,18,354.0
,Finland,64.0,26.0,293,6228,6.0
French Guiana,France,3.9339,-53.1258,1,189,30.0
French Polynesia,France,-17.6797,149.4068,0,60,59143.0
Guadeloupe,France,16.25,-61.5833,13,155,219.0
Mayotte,France,-12.8275,45.1662,16,1210,10.0
New Caledonia,New Caledonia,-20.9043,165.618,0,18,393.0
Reunion,France,-21.1351,55.2471,0,441,151597.0
Saint Barthelemy,France,17.9,-62.8333,0,6,1460.0
St Martin,France,18.0708,-63.0501,3,39,14.0
Martinique,France,14.6415,-61.0242,14,192,1374.0
,France,46.2276,2.2137,27485,177319,135.0
,Gabon,-0.8037,11.6094,10,1209,895.0
,Gambia,13.4432,-15.3101,1,23,26.0
,Georgia,42.3154,43.3569,12,671,43.0
,Germany,51.0,9.0,7897,175233,29.0
,Ghana,7.9465,-1.0232,28,5638,2.0
,Greece,39.0742,21.8243,160,2810,264.0
,Guatemala,15.7835,-90.2308,30,1643,1287.0
,Guinea,9.9456,-9.6966,15,2473,1782.0
,Guyana,5.0,-58.75,10,116,30258.0
,Haiti,18.9712,-72.2852,20,310,3803.0
,Holy See,41.9029,12.4534,0,12,91836.0
,Honduras,15.2,-86.2419,134,2460,2089.0
,Hungary,47.1625,19.5033,442,3417,19470.0
,Iceland,64.9631,-19.0208,10,1802,12587.0
,India,21.0,78.0,2753,85784,120205.0
,Indonesia,-0.7893,113.9213,1076,16496,121.0
,Iran,32.0,53.0,6902,116635,10338.0
,Iraq,33.0,44.0,117,3193,401.0
,Ireland,53.1424,-7.6921,1518,23956,2707.0
,Israel,31.0,35.0,266,16589,284.0
,Italy,43.0,12.0,31610,223885,9851.0
,Jamaica,18.1096,-77.2975,9,511,3640.0
,Japan,36.0,138.0,713,16203,745.0
,Jordan,31.24,36.51,9,596,662.0
,Kazakhstan,48.0196,66.9237,34,5689,246.0
,Kenya,-0.0236,37.9062,45,781,108.0
,South Korea,36.0,128.0,262,11037,28.0
,Kuwait,29.5,47.75,96,12860,55.0
,Kyrgyzstan,41.2044,74.7661,14,1111,965.0
,Latvia,56.8796,24.6032,19,970,3682.0
,Lebanon,33.8547,35.8623,26,891,112.0
,Liberia,6.4281,-9.4295,20,219,5439.0
,Liechtenstein,47.14,9.55,1,82,49.0
,Lithuania,55.1694,23.8813,54,1523,455.0
,Luxembourg,49.8153,6.1296,104,3923,458.0
,Madagascar,-18.7669,46.8691,0,238,7.0
,Malaysia,2.5,112.5,112,6855,322.0
,Maldives,3.2028,73.2207,4,1031,30451.0
,Malta,35.9375,14.3754,6,532,2228.0
,Mauritania,21.0079,10.9408,3,29,87.0
,Mauritius,-20.2,57.5,10,332,20.0
,Mexico,23.6345,-102.5528,4767,45032,311.0
,Moldova,47.4116,28.3699,202,5745,3400.0
