Afghanistan,10.2
Albania,6.7
Algeria,6.6
American Samoa,..
Andorra,10.4
Angola,2.9
Antigua and Barbuda,4.3
Argentina,7.5
Armenia,9.9
Aruba,..
Australia,9.3
Austria,10.4
Azerbaijan,6.9
"Bahamas, The",6.4
Bahrain,4.9
Bangladesh,2.4
Barbados,7
Belarus,6.3
Belgium,10
Belize,6.1
Benin,3.9
Bermuda,..
Bhutan,3.5
Bolivia,6.9
Bosnia and Herzegovina,9.2
Botswana,5.5
Brazil,11.8
Brunei Darussalam,2.3
Bulgaria,8.2
Burkina Faso,6.8
Burundi,6.2
Cabo Verde,5.2
Cambodia,6.1
Cameroon,4.7
Canada,10.5
Cayman Islands,..
Central African Republic,4.3
Chad,4.5
Channel Islands,..
Chile,8.5
China,5
"Hong Kong SAR, China",..
"Macao SAR, China",..
Colombia,5.9
Comoros,7.6
"Congo, Dem. Rep.",3.9
"Congo, Rep.",4.6
Costa Rica,7.6
Cote d'Ivoire,4.4
Croatia,7.2
Cuba,12.2
Curacao,..
Cyprus,6.9
Czech Republic,7.1
Denmark,10.4
Djibouti,3.5
Dominica,5.3
Dominican Republic,6.2
Ecuador,8.4
"Egypt, Arab Rep.",4.6
El Salvador,7
Equatorial Guinea,3.4
Eritrea,3
Estonia,6.7
Eswatini,7.7
Ethiopia,4
Faroe Islands,..
Fiji,3.5
Finland,9.5
France,11.5
French Polynesia,..
Gabon,3.1
"Gambia, The",4.4
Georgia,8.4
Germany,11.1
Ghana,4.4
Greece,8.5
Greenland,..
Grenada,5.2
Guam,..
Guatemala,5.8
Guinea,5.5
Guinea-Bissau,6.1
Guyana,4.2
Haiti,5.4
Honduras,8.4
Hungary,7.4
Iceland,8.3
India,3.7
Indonesia,3.1
"Iran, Islamic Rep.",8.1
Iraq,3.3
Ireland,7.4
Isle of Man,..
Israel,7.3
Italy,8.9
Jamaica,6.1
Japan,10.9
Jordan,5.5
Kazakhstan,3.5
Kenya,4.5
Kiribati,11.9
"Korea, Dem. Peopleâ€™s Rep.",..
"Korea, Rep.",7.3
Kosovo,..
Kuwait,3.9
Kyrgyz Republic,6.6
Lao PDR,2.4
Latvia,6.2
Lebanon,8
Lesotho,8.1
Liberia,9.6
Libya,..
Liechtenstein,..
Lithuania,6.7
Luxembourg,6.2
Madagascar,6
Malawi,9.8
Malaysia,3.8
Maldives,10.6
Mali,3.8
Malta,9.3
Marshall Islands,23.3
Mauritania,4.2
Mauritius,5.7
Mexico,5.5
"Micronesia, Fed. Sts.",12.6
Moldova,9
Monaco,1.7
Mongolia,3.8
Montenegro,7.6
Morocco,5.8
Mozambique,5.1
Myanmar,5.1
Namibia,9.1
Nepal,6.3
Netherlands,10.4
New Caledonia,..
New Zealand,9.2
Nicaragua,8.7
Niger,6.2
Nigeria,3.6
North Macedonia,6.3
Northern Mariana Islands,..
Norway,10.5
Oman,4.3
Pakistan,2.8
Palau,11.7
Panama,7.3
Papua New Guinea,2
Paraguay,8
Peru,5.1
Philippines,4.4
Poland,6.5
Portugal,9.1
Puerto Rico,..
Qatar,3.1
Romania,5
Russian Federation,5.3
Rwanda,6.8
Samoa,5.5
San Marino,6.4
Sao Tome and Principe,6
Saudi Arabia,5.7
Senegal,5.5
Serbia,9.1
Seychelles,3.9
Sierra Leone,16.5
Singapore,4.5
Sint Maarten (Dutch part),..
Slovak Republic,7.1
Slovenia,8.5
Solomon Islands,5.2
Somalia,..
South Africa,8.1
South Sudan,..
Spain,9
Sri Lanka,3.9
St. Kitts and Nevis,5.7
St. Lucia,5.3
St. Martin (French part),..
St. Vincent and the Grenadines,3.6
Sudan,5.7
Suriname,6.1
Sweden,10.9
Switzerland,12.2
Syrian Arab Republic,..
Tajikistan,7
Tanzania,4.1
Thailand,3.7
Timor-Leste,4
Togo,6.6
Tonga,5.3
Trinidad and Tobago,6.5
Tunisia,7
Turkey,4.3
Turkmenistan,6.6
Turks and Caicos Islands,..
Tuvalu,15.5
Uganda,6.2
Ukraine,6.7
United Arab Emirates,3.5
United Kingdom,9.8
United States,17.1
Uruguay,9.1
Uzbekistan,6.3
Vanuatu,3.7
"Venezuela, RB",3.2
Vietnam,5.7
Virgin Islands (U.S.),..
West Bank and Gaza,..
"Yemen, Rep.",5.6
Zambia,4.5
Zimbabwe,9.4
