,health_exp,physicians,nurses,surgeons,pop_density
Afghanistan,10.2,0.3,0.3,0.0,57.0
Albania,6.7,1.2,3.6,11.6,105.0
Algeria,6.6,1.8,2.2,12.1,18.0
American Samoa,,,,,277.0
Andorra,10.4,3.3,4.0,83.1,164.0
Angola,2.9,0.2,1.3,,25.0
Antigua and Barbuda,4.3,2.8,3.1,14.0,219.0
Argentina,7.5,4.0,2.6,50.1,16.0
Armenia,9.9,2.9,5.6,86.7,104.0
Aruba,,,,,588.0
Australia,9.3,3.6,12.7,45.1,3.0
Austria,10.4,5.1,8.2,109.9,107.0
Azerbaijan,6.9,3.4,7.0,67.6,120.0
"Bahamas, The",6.4,1.9,3.1,,39.0
Bahrain,4.9,0.9,2.5,14.4,2017.0
Bangladesh,2.4,0.5,0.3,2.9,1240.0
Barbados,7.0,2.5,6.0,17.2,667.0
Belarus,6.3,4.1,11.4,124.2,47.0
Belgium,10.0,3.3,11.1,89.8,377.0
Belize,6.1,1.1,1.7,10.5,17.0
Benin,3.9,0.2,0.6,1.9,102.0
Bermuda,,,,,1185.0
Bhutan,3.5,0.4,1.5,2.9,20.0
Bolivia,6.9,1.6,0.7,33.9,10.0
Bosnia and Herzegovina,9.2,2.0,6.3,32.3,65.0
Botswana,5.5,0.4,3.3,3.6,4.0
Brazil,11.8,2.1,9.7,55.5,25.0
Brunei Darussalam,2.3,1.8,6.6,,81.0
Bulgaria,8.2,4.0,5.3,112.7,65.0
Burkina Faso,6.8,0.1,0.6,0.6,72.0
Burundi,6.2,0.1,0.7,0.4,435.0
Cabo Verde,5.2,0.8,1.2,16.0,135.0
Cambodia,6.1,0.2,1.0,4.2,92.0
Cameroon,4.7,0.1,0.9,1.2,53.0
Canada,10.5,2.6,9.9,43.9,4.0
Cayman Islands,,,,156.8,267.0
Central African Republic,4.3,0.1,0.2,0.4,7.0
Chad,4.5,0.0,0.4,0.3,12.0
Channel Islands,,,,38.7,861.0
Chile,8.5,1.1,0.9,59.3,25.0
China,5.0,1.8,2.3,40.1,148.0
"Hong Kong SAR, China",,,,27.8,7096.0
"Macao SAR, China",,,,,20778.0
Colombia,5.9,2.1,1.3,22.7,45.0
Comoros,7.6,0.2,0.9,,447.0
"Congo, Dem. Rep.",3.9,0.1,0.5,0.2,37.0
"Congo, Rep.",4.6,0.1,1.7,0.2,15.0
Costa Rica,7.6,1.1,0.8,25.5,98.0
Cote d'Ivoire,4.4,0.2,0.9,2.8,79.0
Croatia,7.2,3.0,8.1,81.2,73.0
Cuba,12.2,8.2,7.8,100.9,109.0
Curacao,,,,,361.0
Cyprus,6.9,2.0,5.3,84.4,129.0
