Country,confirmed
Afghanistan,6053
Albania,916
Algeria,6629
Andorra,761
Angola,48
Antigua and Barbuda,25
Argentina,7479
Armenia,4044
Australia,7035
Austria,16109
Azerbaijan,2980
Bahrain,6583
Bangladesh,20065
Barbados,85
Belarus,27730
Belgium,54644
Belize,18
Benin,339
Bhutan,21
Bolivia,3577
Bosnia and Herzegovina,2236
Botswana,24
Brazil,220291
Brunei,141
Bulgaria,2138
Burkina Faso,780
Burundi,15
Cabo Verde,326
Cambodia,122
Cameroon,3105
Canada,75959
Central African Republic,301
Chad,428
Chile,39542
China,84038
Colombia,14216
Comoros,11
Costa Rica,843
Croatia,2222
Cuba,1840
Cyprus,910
Czech Republic,8406
Democratic Republic of the Congo,1298
Denmark,10989
Diamond Princess,712
Djibouti,1309
Dominica,16
Dominican Republic,11739
East Timor,24
Ecuador,31467
Egypt,11228
El Salvador,1210
England,237968
Equatorial Guinea,594
Eritrea,39
Estonia,1766
Eswatini,190
Ethiopia,287
Falkland Islands,13
Fiji,18
Finland,6228
France,179612
Gabon,1209
Gambia,23
Georgia,671
Germany,175233
Ghana,5638
Greece,2810
Greenland,11
Grenada,22
Guatemala,1643
Guinea,2473
Guinea-Bissau,913
Guyana,116
Haiti,310
Holy See,12
Honduras,2460
Hungary,3417
Iceland,1802
India,85784
Indonesia,16496
Iran,116635
Iraq,3193
Ireland,23956
Israel,16589
Italy,223885
Ivory Coast,2017
Jamaica,511
Japan,16203
Jordan,596
Kazakhstan,5689
Kenya,781
Kosovo,944
Kuwait,12860
Kyrgyzstan,1111
Laos,19
Latvia,970
Lebanon,891
Lesotho,1
Liberia,219
Libya,64
Liechtenstein,82
Lithuania,1523
Luxembourg,3923
MS Zaandam,9
Macedonia,1740
Madagascar,238
Malawi,63
Malaysia,6855
Maldives,1031
Mali,806
Malta,532
Mauritania,29
Mauritius,332
Mexico,45032
Moldova,5745
Monaco,96
Mongolia,98
Montenegro,324
Morocco,6652
Mozambique,119
Myanmar,182
Namibia,16
Nepal,267
Netherlands,43880
New Caledonia,18
New Zealand,1498
Nicaragua,25
Niger,885
Nigeria,5450
Norway,8219
Oman,4625
Pakistan,38799
Panama,9268
Papua New Guinea,8
Paraguay,759
Peru,84495
Philippines,12091
Poland,18016
Portugal,28583
Qatar,29425
Republic of Serbia,10438
Republic of the Congo,391
Romania,16437
Russia,262843
Rwanda,287
Saint Kitts and Nevis,15
Saint Lucia,18
Saint Vincent and the Grenadines,17
San Marino,652
Sao Tome and Principe,235
Saudi Arabia,49176
Senegal,2310
Seychelles,11
Sierra Leone,447
Singapore,26891
Slovakia,1480
Slovenia,1465
Somalia,1284
South Africa,13524
South Korea,11037
South Sudan,236
Spain,230183
Sri Lanka,935
Sudan,1964
Suriname,10
Sweden,29207
Switzerland,30514
Syria,50
Taiwan,440
Tajikistan,1118
Thailand,3025
The Bahamas,96
Togo,263
Trinidad and Tobago,116
Tunisia,1035
Turkey,146457
US,1442824
USA,1527664
Uganda,203
Ukraine,17330
United Arab Emirates,21831
United Kingdom,23
United Republic of Tanzania,509
Uruguay,732
Uzbekistan,2686
Venezuela,459
Vietnam,314
West Bank and Gaza,375
Western Sahara,6
Yemen,106
Zambia,654
Zimbabwe,42
